params,sharpe_ratio,total_return,annual_return,max_drawdown,sortino_ratio,calmar_ratio,num_trades,win_rate
"{'period': 5, 'overbought': 60, 'oversold': 40}",-3.4692602580119316,-0.5221720443869753,-0.7129032198645784,-0.5767395714847684,-3.378798778983825,-1.2360920857732511,37,0.43243243243243246
"{'period': 5, 'overbought': 75, 'oversold': 40}",-3.4737279299927613,-0.4556674608334118,-0.6421841495645113,-0.48356866115790464,-3.5637652075398925,-1.3280102726814473,43,0.4186046511627907
"{'period': 5, 'overbought': 80, 'oversold': 25}",-3.591827429050975,-0.41837028864922055,-0.5997822832287606,-0.44724602772310273,-3.790571324105659,-1.3410567026882474,30,0.3793103448275862
"{'period': 5, 'overbought': 60, 'oversold': 25}",-3.7727207430869005,-0.47650536850947023,-0.6650239741076023,-0.530512937799821,-4.263955329735547,-1.2535490215670035,33,0.46875
"{'period': 5, 'overbought': 65, 'oversold': 30}",-4.043795834340417,-0.5310270962732075,-0.7218362084417855,-0.56846036044165,-4.397733433992882,-1.2698092227239455,41,0.575
"{'period': 5, 'overbought': 85, 'oversold': 30}",-4.089858468111306,-0.4994689647289089,-0.6894767882601814,-0.5182724286466487,-4.320140079659011,-1.330336614781138,35,0.38235294117647056
"{'period': 5, 'overbought': 65, 'oversold': 35}",-4.1343618257064625,-0.5225538048419052,-0.7132907157698939,-0.5606634043678995,-4.539924430607948,-1.2722262773224315,43,0.4418604651162791
"{'period': 5, 'overbought': 70, 'oversold': 30}",-4.165438240029158,-0.5227125741915785,-0.7134518075137866,-0.5540397128880608,-4.358451156550037,-1.2877268378375861,41,0.55
"{'period': 5, 'overbought': 80, 'oversold': 30}",-4.215063706046706,-0.5128588677125914,-0.7033840806904342,-0.5377489349126767,-4.496522347575723,-1.3080157579571114,38,0.5263157894736842
"{'period': 5, 'overbought': 85, 'oversold': 35}",-4.215386276468452,-0.4904254884458219,-0.6799371791848583,-0.49515250106462705,-4.533613504344537,-1.3731874073602088,37,0.35135135135135137
"{'period': 5, 'overbought': 75, 'oversold': 30}",-4.217920470333526,-0.5235935552058878,-0.7143450034033565,-0.5475295133359384,-4.704416245456379,-1.3046694032090795,41,0.4146341463414634
"{'period': 5, 'overbought': 70, 'oversold': 35}",-4.277646195770958,-0.5140890579431284,-0.704648736972802,-0.54598220796729,-4.516136409805194,-1.290607508248726,43,0.46511627906976744
"{'period': 5, 'overbought': 75, 'oversold': 35}",-4.335890917628364,-0.5149859563138994,-0.7055693728066077,-0.5393543836704484,-4.919089035869117,-1.308173983874985,44,0.5116279069767442
"{'period': 5, 'overbought': 80, 'oversold': 35}",-4.343760116136997,-0.5040573170275848,-0.6942717186873589,-0.528679015729761,-4.711503060089398,-1.3132197383113882,41,0.5
"{'period': 5, 'overbought': 60, 'oversold': 35}",-4.399331487873965,-0.549994280905103,-0.740580453946785,-0.5964201916844983,-4.869439084986026,-1.241709224926017,41,0.475
"{'period': 5, 'overbought': 60, 'oversold': 30}",-4.555581353936945,-0.5676455120841553,-0.7575417374528477,-0.6122503915986295,-5.050879399340644,-1.2373070688854149,38,0.5
"{'period': 20, 'overbought': 80, 'oversold': 15}",,0.0,0.0,0.0,,,1,0.0
"{'period': 20, 'overbought': 80, 'oversold': 20}",,0.0,0.0,0.0,,,1,0.0
"{'period': 20, 'overbought': 80, 'oversold': 25}",,0.0,0.0,0.0,,,1,0.0
"{'period': 20, 'overbought': 85, 'oversold': 15}",,0.0,0.0,0.0,,,1,0.0
"{'period': 20, 'overbought': 85, 'oversold': 20}",,0.0,0.0,0.0,,,1,0.0
"{'period': 20, 'overbought': 85, 'oversold': 25}",,0.0,0.0,0.0,,,1,0.0
"{'period': 25, 'overbought': 65, 'oversold': 15}",1.3318695755925758,0.06546804372300108,0.11311035834788652,-0.02416323020576472,2.050423612796784,4.6810942653230745,2,0.0
"{'period': 25, 'overbought': 65, 'oversold': 20}",1.3318695755925758,0.06546804372300108,0.11311035834788652,-0.02416323020576472,2.050423612796784,4.6810942653230745,2,0.0
"{'period': 25, 'overbought': 65, 'oversold': 25}",1.3318695755925758,0.06546804372300108,0.11311035834788652,-0.02416323020576472,2.050423612796784,4.6810942653230745,2,0.0
"{'period': 25, 'overbought': 65, 'oversold': 30}",1.3318695755925758,0.06546804372300108,0.11311035834788652,-0.02416323020576472,2.050423612796784,4.6810942653230745,2,0.0
"{'period': 20, 'overbought': 70, 'oversold': 15}",1.2489627194416042,0.05909244914907297,0.10187828864269921,-0.025677175454231538,0.9908529748638654,3.9676594812499095,4,0.5
"{'period': 20, 'overbought': 70, 'oversold': 20}",1.2489627194416042,0.05909244914907297,0.10187828864269921,-0.025677175454231538,0.9908529748638654,3.9676594812499095,4,0.5
"{'period': 20, 'overbought': 70, 'oversold': 25}",1.2489627194416042,0.05909244914907297,0.10187828864269921,-0.025677175454231538,0.9908529748638654,3.9676594812499095,4,0.5
"{'period': 25, 'overbought': 60, 'oversold': 35}",0.7529297695164991,0.08916391727595618,0.15526260382229706,-0.18791260496876916,0.7807756020479008,0.8262490100017587,13,0.4166666666666667
"{'period': 20, 'overbought': 65, 'oversold': 15}",0.7137728549203923,0.04072078656611411,0.069773010559816,-0.05573211172783288,0.7500688810396754,1.2519355250802569,8,0.14285714285714285
"{'period': 20, 'overbought': 65, 'oversold': 20}",0.7137728549203923,0.04072078656611411,0.069773010559816,-0.05573211172783288,0.7500688810396754,1.2519355250802569,8,0.14285714285714285
"{'period': 20, 'overbought': 65, 'oversold': 25}",0.7137728549203923,0.04072078656611411,0.069773010559816,-0.05573211172783288,0.7500688810396754,1.2519355250802569,8,0.14285714285714285
"{'period': 20, 'overbought': 60, 'oversold': 15}",0.5189345865360387,0.03480775799312941,0.05952229701791589,-0.09524182847307616,0.48218609052771394,0.6249596209163729,7,0.16666666666666666
"{'period': 20, 'overbought': 60, 'oversold': 20}",0.5189345865360387,0.03480775799312941,0.05952229701791589,-0.09524182847307616,0.48218609052771394,0.6249596209163729,7,0.16666666666666666
"{'period': 20, 'overbought': 60, 'oversold': 25}",0.5189345865360387,0.03480775799312941,0.05952229701791589,-0.09524182847307616,0.48218609052771394,0.6249596209163729,7,0.16666666666666666
"{'period': 25, 'overbought': 60, 'oversold': 15}",0.4338776875463036,0.021974611508413178,0.037413828034802865,-0.0627622092872342,0.4626602621963478,0.5961203160261094,6,0.4
"{'period': 25, 'overbought': 60, 'oversold': 20}",0.4338776875463036,0.021974611508413178,0.037413828034802865,-0.0627622092872342,0.4626602621963478,0.5961203160261094,6,0.4
